film_oscar_award_id,year,film_id,oscar_award_type_id,oscar_award_category_id
3383,1969,1359,2,3
3384,1969,1359,2,5
3385,1969,1359,2,6
3386,1969,1359,2,7
3387,1969,1359,1,8
3388,1969,1359,2,12
3389,1969,1359,2,15
3390,1969,1359,2,17
3391,1969,1360,2,2
3392,1969,1360,2,4
3393,1969,1360,2,7
3394,1969,1360,2,17
3395,1969,1361,2,6
3396,1969,1361,1,7
3397,1969,1361,2,9
3398,1969,1361,1,12
3399,1969,1361,1,13
3400,1969,1361,2,15
3401,1969,1361,1,17
3402,1969,1362,1,4
3403,1969,1363,2,2
3404,1969,1363,2,17
3405,1969,1364,2,5
3406,1969,1364,2,8
3407,1969,1364,2,15
3408,1969,1365,2,17
3409,1969,1366,2,1
3410,1969,1366,2,12
3411,1969,1367,1,5
3412,1969,1367,2,6
3413,1969,1367,2,7
3414,1969,1367,2,8
3415,1969,1367,2,10
3416,1969,1367,1,12
3417,1969,1367,1,15
3418,1969,1368,2,16
3419,1969,1369,2,4
3420,1969,1370,2,7
3421,1969,1370,2,15
3422,1969,1370,1,16
3423,1969,1371,2,1
3424,1969,1371,2,4
3425,1969,1371,1,6
3426,1969,1371,1,9
3427,1969,1371,2,10
3428,1969,1371,1,17
3429,1969,1372,2,12
3430,1969,1373,2,5
3431,1969,1373,2,8
3432,1969,1373,2,12
3433,1969,1374,2,17
3434,1969,1375,2,3
3435,1969,1375,2,13
3436,1969,1376,1,3
3437,1969,1376,2,13
3438,1969,1377,2,2
3439,1969,1377,2,12
3440,1969,1378,2,10
3441,1969,1378,2,12
3442,1969,1379,2,3
3443,1969,1379,2,13
3444,1969,1380,2,12
3445,1969,1380,2,17
3446,1969,1381,1,2
3447,1969,1381,2,3
3448,1969,1381,2,4
3449,1969,1381,2,5
3450,1969,1381,2,8
3451,1969,1381,2,9
3452,1969,1381,2,10
3453,1969,1381,2,12
3454,1969,1381,2,17
3455,1969,1382,1,1
3456,1969,1382,2,13
3457,1969,1383,2,6
3458,1969,1383,2,9
3459,1969,1383,1,10
3460,1969,1383,2,17
3461,1970,1384,2,12
3462,1970,1385,1,4
3463,1970,1385,2,5
3464,1970,1385,2,6
3465,1970,1385,2,7
3466,1970,1385,2,8
3467,1970,1385,2,10
3468,1970,1385,2,12
3469,1970,1385,2,15
3470,1970,1385,2,17
3471,1970,1386,1,8
3472,1970,1386,2,12
3473,1970,1387,2,8
3474,1970,1387,2,12
3475,1970,1387,2,13
3476,1970,1388,2,3
3477,1970,1389,2,9
3478,1970,1390,2,1
3479,1970,1390,2,4
3480,1970,1390,2,6
3481,1970,1390,2,17
3482,1970,1391,2,1
3483,1970,1391,2,2
3484,1970,1391,2,17
3485,1970,1392,2,17
3486,1970,1393,1,12
3487,1970,1394,2,2
3488,1970,1395,2,1
3489,1970,1395,2,2
3490,1970,1395,2,3
3491,1970,1395,2,6
3492,1970,1395,2,9
3493,1970,1395,1,12
3494,1970,1395,2,17
3495,1970,1396,2,2
3496,1970,1396,1,13
3497,1970,1396,2,17
3498,1970,1397,2,4
3499,1970,1397,2,6
3500,1970,1397,2,9
3501,1970,1397,2,10
3502,1970,1397,1,17
3503,1970,1398,2,13
3504,1970,1399,2,17
3505,1970,1400,1,1
3506,1970,1400,1,5
3507,1970,1400,1,6
3508,1970,1400,2,7
3509,1970,1400,1,9
3510,1970,1400,1,10
3511,1970,1400,2,12
3512,1970,1400,1,15
3513,1970,1400,2,16
3514,1970,1400,1,17
3515,1970,1401,2,13
3516,1970,1402,1,2
3517,1970,1402,2,3
3518,1970,1402,1,7
3519,1970,1402,2,15
3520,1970,1403,2,5
3521,1970,1403,2,8
3522,1970,1403,2,12
3523,1970,1403,2,13
3524,1970,1404,2,12
3525,1970,1405,2,12
3526,1970,1406,2,1
3527,1970,1406,2,3
3528,1970,1407,2,8
