2012 (85th),ACTRESS IN A LEADING ROLE,"Emmanuelle Riva -- Amour {""Anne""}",No,,
2012 (85th),ACTRESS IN A LEADING ROLE,"Jennifer Lawrence -- Silver Linings Playbook {""Tiffany""}",Yes,,
2012 (85th),ACTRESS IN A LEADING ROLE,"Jessica Chastain -- Zero Dark Thirty {""Maya""}",No,,
2012 (85th),ACTRESS IN A LEADING ROLE,"Naomi Watts -- The Impossible {""Maria""}",No,,
2012 (85th),ACTRESS IN A LEADING ROLE,"Quvenzhané Wallis -- Beasts of the Southern Wild {""Hushpuppy""}",No,,
2012 (85th),ACTRESS IN A SUPPORTING ROLE,"Amy Adams -- The Master {""Peggy Dodd""}",No,,
2012 (85th),ACTRESS IN A SUPPORTING ROLE,"Anne Hathaway -- Les Misérables {""Fantine""}",Yes,,
2012 (85th),ACTRESS IN A SUPPORTING ROLE,"Helen Hunt -- The Sessions {""Cheryl""}",No,,
2012 (85th),ACTRESS IN A SUPPORTING ROLE,"Jacki Weaver -- Silver Linings Playbook {""Dolores""}",No,,
2012 (85th),ACTRESS IN A SUPPORTING ROLE,"Sally Field -- Lincoln {""Mary Todd Lincoln""}",No,,
2012 (85th),ANIMATED FEATURE FILM,Brave -- Mark Andrews and Brenda Chapman,Yes,,
2012 (85th),ANIMATED FEATURE FILM,Frankenweenie -- Tim Burton,No,,
2012 (85th),ANIMATED FEATURE FILM,ParaNorman -- Sam Fell and Chris Butler,No,,
2012 (85th),ANIMATED FEATURE FILM,The Pirates! Band of Misfits -- Peter Lord,No,,
2012 (85th),ANIMATED FEATURE FILM,Wreck-It Ralph -- Rich Moore,No,,
2012 (85th),BEST PICTURE,"Amour -- Margaret Menegoz, Stefan Arndt, Veit Heiduschka and Michael Katz, Producers",No,,
2012 (85th),BEST PICTURE,"Argo -- Grant Heslov, Ben Affleck and George Clooney, Producers",Yes,,
2012 (85th),BEST PICTURE,"Beasts of the Southern Wild -- Dan Janvey, Josh Penn and Michael Gottwald, Producers",No,,
2012 (85th),BEST PICTURE,"Django Unchained -- Stacey Sher, Reginald Hudlin and Pilar Savone, Producers",No,,
2012 (85th),BEST PICTURE,"Les Misérables -- Tim Bevan, Eric Fellner, Debra Hayward and Cameron Mackintosh, Producers",No,,
2012 (85th),BEST PICTURE,"Life of Pi -- Gil Netter, Ang Lee and David Womark, Producers",No,,
2012 (85th),BEST PICTURE,"Lincoln -- Steven Spielberg and Kathleen Kennedy, Producers",No,,
2012 (85th),BEST PICTURE,"Silver Linings Playbook -- Donna Gigliotti, Bruce Cohen and Jonathan Gordon, Producers",No,,
2012 (85th),BEST PICTURE,"Zero Dark Thirty -- Mark Boal, Kathryn Bigelow and Megan Ellison, Producers",No,,
2012 (85th),CINEMATOGRAPHY,Anna Karenina -- Seamus McGarvey,No,,
2012 (85th),CINEMATOGRAPHY,Django Unchained -- Robert Richardson,No,,
2012 (85th),CINEMATOGRAPHY,Life of Pi -- Claudio Miranda,Yes,,
2012 (85th),CINEMATOGRAPHY,Lincoln -- Janusz Kaminski,No,,
2012 (85th),CINEMATOGRAPHY,Skyfall -- Roger Deakins,No,,
2012 (85th),COSTUME DESIGN,Anna Karenina -- Jacqueline Durran,Yes,,
2012 (85th),COSTUME DESIGN,Les Misérables -- Paco Delgado,No,,
2012 (85th),COSTUME DESIGN,Lincoln -- Joanna Johnston,No,,
2012 (85th),COSTUME DESIGN,Mirror Mirror -- Eiko Ishioka,No,,
2012 (85th),COSTUME DESIGN,Snow White and the Huntsman -- Colleen Atwood,No,,
2012 (85th),DIRECTING,Amour -- Michael Haneke,No,,
2012 (85th),DIRECTING,Beasts of the Southern Wild -- Benh Zeitlin,No,,
2012 (85th),DIRECTING,Life of Pi -- Ang Lee,Yes,,
2012 (85th),DIRECTING,Lincoln -- Steven Spielberg,No,,
2012 (85th),DIRECTING,Silver Linings Playbook -- David O. Russell,No,,
2012 (85th),DOCUMENTARY (Feature),5 Broken Cameras -- Emad Burnat and Guy Davidi,No,,
2012 (85th),DOCUMENTARY (Feature),How to Survive a Plague -- David France and Howard Gertler,No,,
2012 (85th),DOCUMENTARY (Feature),Searching for Sugar Man -- Malik Bendjelloul and Simon Chinn,Yes,,
2012 (85th),DOCUMENTARY (Feature),"The Gatekeepers -- Dror Moreh, Philippa Kowarsky and Estelle Fialon",No,,
2012 (85th),DOCUMENTARY (Feature),The Invisible War -- Kirby Dick and Amy Ziering,No,,
2012 (85th),DOCUMENTARY (Short Subject),Inocente -- Sean Fine and Andrea Nix Fine,Yes,,
2012 (85th),DOCUMENTARY (Short Subject),Kings Point -- Sari Gilman and Jedd Wider,No,,
2012 (85th),DOCUMENTARY (Short Subject),Mondays at Racine -- Cynthia Wade and Robin Honan,No,,
2012 (85th),DOCUMENTARY (Short Subject),Open Heart -- Kief Davidson and Cori Shepherd Stern,No,,
2012 (85th),DOCUMENTARY (Short Subject),Redemption -- Jon Alpert and Matthew O'Neill,No,,
2012 (85th),FILM EDITING,Argo -- William Goldenberg,Yes,,
2012 (85th),FILM EDITING,Life of Pi -- Tim Squyres,No,,
2012 (85th),FILM EDITING,Lincoln -- Michael Kahn,No,,
2012 (85th),FILM EDITING,Silver Linings Playbook -- Jay Cassidy and Crispin Struthers,No,,
2012 (85th),FILM EDITING,Zero Dark Thirty -- Dylan Tichenor and William Goldenberg,No,,
2012 (85th),FOREIGN LANGUAGE FILM,A Royal Affair -- Denmark,No,,
2012 (85th),FOREIGN LANGUAGE FILM,Amour -- Austria,Yes,,
2012 (85th),FOREIGN LANGUAGE FILM,Kon-Tiki -- Norway,No,,
2012 (85th),FOREIGN LANGUAGE FILM,No -- Chile,No,,
2012 (85th),FOREIGN LANGUAGE FILM,War Witch -- Canada,No,,
2012 (85th),HONORARY AWARD,"To D.A. Pennebaker, who redefined the language of film and taught a generation of filmmakers to look to reality for inspiration.",Yes,,
2012 (85th),HONORARY AWARD,"To George Stevens, Jr., a tireless champion of the arts in America and especially that most American of arts: the Hollywood film.",Yes,,
