"","Year","Best_Picture","Best_Editing","Best_Directing","Best_Actor","Best_Supporting_Actor","Best_Actress","Best_Supporting_Actress","Best_Sound","Best_Song"
"61",1994,"Forrest Gump","Forrest Gump","Forrest Gump "," Forrest Gump "," Ed Wood "," Blue Sky "," Bullets over Broadway ","Speed "," The Lion King "
"62",1995,"Braveheart","Apollo 13","Braveheart "," Leaving Las Vegas "," The Usual Suspects "," Dead Man Walking "," Mighty Aphrodite ","Apollo 13 "," Pocahontas "
"63",1996,"The English Patient","The English Patient","The English Patient "," Shine "," Jerry Maguire "," Fargo "," The English Patient ","The English Patient "," Evita "
"64",1997,"Titanic","Titanic","Titanic "," As Good as It Gets "," Good Will Hunting "," As Good as It Gets "," L.A. Confidential ","Titanic "," Titanic "
"65",1998,"Shakespeare in Love","Saving Private Ryan","Saving Private Ryan "," Life Is Beautiful "," Affliction "," Shakespeare in Love "," Shakespeare in Love ","Saving Private Ryan "," The Prince of Egypt "
"66",1999,"American Beauty","The Matrix","American Beauty "," American Beauty "," The Cider House Rules "," Boys Don't Cry "," Girl, Interrupted ","The Matrix "," Tarzan "
"67",2000,"Gladiator","Traffic","Traffic "," Gladiator "," Traffic "," Erin Brockovich "," Pollock ","Gladiator "," Wonder Boys "
"68",2001,"A Beautiful Mind","Black Hawk Down","A Beautiful Mind "," Training Day "," Iris "," Monster's Ball "," A Beautiful Mind ","Black Hawk Down "," Monsters, Inc. "
"69",2002,"Chicago","Chicago","The Pianist "," The Pianist "," Adaptation "," The Hours "," Chicago ","Chicago "," 8 Mile "
"70",2003,"The Lord of the Rings: The Return of the King","The Lord of the Rings: The Return of the King","The Lord of the Rings: The Return of the King "," Mystic River "," Mystic River "," Monster "," Cold Mountain ","The Lord of the Rings: The Return of the King "," The Lord of the Rings: The Return of the King "
"71",2004,"Million Dollar Baby","The Aviator","Million Dollar Baby "," Ray "," Million Dollar Baby "," Million Dollar Baby "," The Aviator ","Ray "," The Motorcycle Diaries "
"72",2005,"Crash","Crash","Brokeback Mountain "," Capote "," Syriana "," Walk the Line "," The Constant Gardener ","King Kong "," Hustle & Flow "
"73",2006,"The Departed","The Departed","The Departed "," The Last King of Scotland "," Little Miss Sunshine "," The Queen "," Dreamgirls ","Dreamgirls "," An Inconvenient Truth "
"74",2007,"No Country for Old Men","The Bourne Ultimatum","No Country for Old Men "," There Will Be Blood "," No Country for Old Men "," La Vie en Rose "," Michael Clayton ","The Bourne Ultimatum "," Once "
"75",2008,"Slumdog Millionaire","Slumdog Millionaire","Slumdog Millionaire "," Milk "," The Dark Knight "," The Reader "," Vicky Cristina Barcelona ","Slumdog Millionaire "," Slumdog Millionaire "
"76",2009,"The Hurt Locker","The Hurt Locker","The Hurt Locker "," Crazy Heart "," Inglourious Basterds "," The Blind Side "," Precious: Based on the Novel 'Push' by Sapphire ","The Hurt Locker "," Crazy Heart "
"77",2010,"The King's Speech","The Social Network","The King's Speech "," The King's Speech "," The Fighter "," Black Swan "," The Fighter ","Inception "," Toy Story 3 "
"78",2011,"The Artist","The Girl with the Dragon Tattoo","The Artist "," The Artist "," Beginners "," The Iron Lady "," The Help ","Hugo "," The Muppets "
"79",2012,"Argo","Argo","Life of Pi "," Lincoln "," Django Unchained "," Silver Linings Playbook "," Les Misérables ","Les Misérables "," Skyfall "
"80",2013,"12 Years a Slave","Gravity","Gravity "," Dallas Buyers Club "," Dallas Buyers Club "," Blue Jasmine "," 12 Years a Slave ","Gravity "," Frozen "
"81",2014,"Birdman or (The Unexpected Virtue of Ignorance)","Whiplash","Birdman or (The Unexpected Virtue of Ignorance) "," The Theory of Everything "," Whiplash "," Still Alice "," Boyhood ","Whiplash "," Selma "
