"","Year","Nominee","actor in a leading role","actor in a supporting role","actress in a leading role","actress in a supporting role","art direction","best picture","cinematography","costume design","directing","film editing","makeup","music (score)","music (song)","sound editing","sound mixing","visual effects","writing","writing (adapted screenplay)","writing (original screenplay)"
"81","1936","The Magnificent Brute","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","1936","The Story of Louis Pasteur","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0"
"83","1936","The Texas Rangers","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"84","1936","Theodora Goes Wild","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"85","1936","These Three","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","1936","Three Smart Girls","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","2","0","0"
"87","1936","Trail of the Lonesome Pine","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"88","1936","Valiant Is the Word for Carrie","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","1936","Winterset","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"90","1937","A Damsel in Distress","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","1937","A Star Is Born","2","0","2","0","0","2","0","0","2","0","0","0","0","0","0","0","1","0","0"
"92","1937","Artists and Models","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"93","1937","Black Legion","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"94","1937","Camille","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","1937","Captains Courageous","1","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","2","0","0"
"96","1937","Conquest","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","1937","Dead End","0","0","0","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1937","Every Day's a Holiday","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","1937","Hitting a New High","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"100","1937","In Old Chicago","0","0","0","1","0","2","0","0","0","0","0","2","0","0","2","0","2","0","0"
"101","1937","Lost Horizon","0","2","0","0","1","2","0","0","0","1","0","2","0","0","2","0","0","0","0"
"102","1937","Make a Wish","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"103","1937","Manhattan Merry-Go-Round","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","1937","Maytime","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0"
"105","1937","Mr. Dodd Takes the Air","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"106","1937","Night Must Fall","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","1937","One Hundred Men and a Girl","0","0","0","0","0","2","0","0","0","2","0","1","0","0","2","0","2","0","0"
"108","1937","Portia on Trial","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"109","1937","Quality Street","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"110","1937","Shall We Dance","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"111","1937","Snow White and the Seven Dwarfs","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"112","1937","Something to Sing About","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"113","1937","Souls at Sea","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"114","1937","Stage Door","0","0","0","2","0","2","0","0","2","0","0","0","0","0","0","0","2","0","0"
"115","1937","Stella Dallas","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","1937","The Awful Truth","0","2","2","0","0","2","0","0","1","2","0","0","0","0","0","0","2","0","0"
"117","1937","The Girl Said No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"118","1937","The Good Earth","0","0","1","0","0","2","1","0","2","2","0","0","0","0","0","0","0","0","0"
"119","1937","The Hurricane","0","2","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0"
"120","1937","The Life of Emile Zola","2","1","0","0","2","1","0","0","2","0","0","2","0","0","2","0","1","0","0"
"121","1937","The Prisoner of Zenda","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"122","1937","Topper","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"123","1937","Waikiki Wedding","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"124","1937","Walter Wanger's Vogues of 1938","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"125","1937","Way Out West","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"126","1937","Wee Willie Winkie","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"127","1937","Wells Fargo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"128","1937","Wings over Honolulu","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"129","1937","You're a Sweetheart","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"130","1938","Alexander's Ragtime Band","0","0","0","0","2","2","0","0","0","2","0","1","2","0","0","0","2","0","0"
"131","1938","Algiers","2","2","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"132","1938","Angels with Dirty Faces","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0"
"133","1938","Army Girl","0","0","0","0","0","0","2","0","0","0","0","2","0","0","2","0","0","0","0"
"134","1938","Block-Heads","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"135","1938","Blockade","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0"
"136","1938","Boys Town","1","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","1","0","0"
"137","1938","Breaking the Ice","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"138","1938","Carefree","0","0","0","0","2","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
"139","1938","Four Daughters","0","2","0","0","0","2","0","0","2","0","0","0","0","0","2","0","2","0","0"
"140","1938","Girls' School","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"141","1938","Going Places","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"142","1938","Grand Illusion","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"143","1938","Holiday","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"144","1938","If I Were King","0","2","0","0","2","0","0","0","0","0","0","2","0","0","2","0","0","0","0"
"145","1938","Jezebel","0","0","1","1","0","2","2","0","0","0","0","2","0","0","0","0","0","0","0"
"146","1938","Kentucky","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"147","1938","Mad about Music","0","0","0","0","2","0","2","0","0","0","0","2","0","0","0","0","2","0","0"
"148","1938","Mannequin","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"149","1938","Marie Antoinette","0","2","2","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"150","1938","Merrily We Live","0","0","0","2","2","0","2","0","0","0","0","0","2","0","2","0","0","0","0"
"151","1938","Of Human Hearts","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"152","1938","Pacific Liner","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"153","1938","Pygmalion","2","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0"
