"","Year","Award","Winner","Nominee"
"2119","1994 ","Actress -- Leading Role","NO","Nell "
"2120","1994 ","Actress -- Leading Role","YES","Blue Sky "
"2121","1994 ","Actress -- Leading Role","NO","Tom & Viv "
"2122","1994 ","Actress -- Leading Role","NO","Little Women "
"2123","1994 ","Actress -- Leading Role","NO","The Client "
"2124","1994 ","Actress -- Supporting Role","NO","Tom & Viv "
"2125","1994 ","Actress -- Supporting Role","NO","The Madness of King George "
"2126","1994 ","Actress -- Supporting Role","NO","Pulp Fiction "
"2127","1994 ","Actress -- Supporting Role","NO","Bullets over Broadway "
"2128","1994 ","Actress -- Supporting Role","YES","Bullets over Broadway "
"2129","1994 ","Art Direction","NO","656"
"2130","1994 ","Art Direction","NO","1354"
"2131","1994 ","Art Direction","NO","1836"
"2132","1994 ","Art Direction","NO","2233"
"2133","1994 ","Art Direction","YES","4167"
"2134","1994 ","Cinematography","NO","1354"
"2135","1994 ","Cinematography","YES","2233"
"2136","1994 ","Cinematography","NO","3056"
"2137","1994 ","Cinematography","NO","4412"
"2138","1994 ","Cinematography","NO","5962"
"2139","1994 ","Costume Design","YES","3675"
"2140","1994 ","Costume Design","NO","656"
"2141","1994 ","Costume Design","NO","2314"
"2142","1994 ","Costume Design","NO","2471"
"2143","1994 ","Costume Design","NO","3000"
"2144","1994 ","Directing","NO","656"
"2145","1994 ","Directing","YES","1354"
"2146","1994 ","Directing","NO","2992"
"2147","1994 ","Directing","NO","3010"
"2148","1994 ","Directing","NO","3056"
"2159","1994 ","Film Editing","YES","1354"
"2160","1994 ","Film Editing","NO","1713"
"2161","1994 ","Film Editing","NO","2992"
"2162","1994 ","Film Editing","NO","4412"
"2163","1994 ","Film Editing","NO","3454"
"2169","1994 ","Makeup","YES","1157"
"2170","1994 ","Makeup","NO","1354"
"2171","1994 ","Makeup","NO","2456"
"2172","1994 ","Music (Scoring)","NO","1354"
"2173","1994 ","Music (Scoring)","NO","1836"
"2174","1994 ","Music (Scoring)","YES","4133"
"2175","1994 ","Music (Scoring)","NO","2314"
"2176","1994 ","Music (Scoring)","NO","4412"
"2177","1994 ","Music (Song)","YES","4133"
"2178","1994 ","Music (Song)","NO","4133"
"2179","1994 ","Music (Song)","NO","4133"
"2180","1994 ","Music (Song)","NO","2064"
"2181","1994 ","Music (Song)","NO","4279"
"2182","1994 ","Best Picture","YES","1354"
"2183","1994 ","Best Picture","NO","1363"
"2184","1994 ","Best Picture","NO","2992"
"2185","1994 ","Best Picture","NO","3010"
"2186","1994 ","Best Picture","NO","4412"
"2197","1994 ","Sound","NO","848"
"2198","1994 ","Sound","NO","1354"
"2199","1994 ","Sound","NO","2233"
"2200","1994 ","Sound","NO","4412"
"2201","1994 ","Sound","YES","3454"
"2202","1994 ","Sound Editing","NO","848"
"2203","1994 ","Sound Editing","NO","1354"
"2204","1994 ","Sound Editing","YES","3454"
"2205","1994 ","Visual Effects","YES","1354"
"2206","1994 ","Visual Effects","NO","4196"
"2207","1994 ","Visual Effects","NO","5685"
"2208","1994 ","Writing","YES","1354"
"2209","1994 ","Writing","NO","4167"
"2210","1994 ","Writing","NO","2723"
"2211","1994 ","Writing","NO","3010"
"2212","1994 ","Writing","NO","4412"
"2213","1994 ","Writing","NO","656"
"2214","1994 ","Writing","NO","1363"
"2215","1994 ","Writing","NO","1632"
"2216","1994 ","Writing","YES","2992"
"2217","1994 ","Writing","NO","3056"
"2247","1993 ","Actor -- Leading Role","NO","In the Name of the Father "
"2248","1993 ","Actor -- Leading Role","NO","What's Love Got to Do with It "
"2249","1993 ","Actor -- Leading Role","YES","Philadelphia "
"2250","1993 ","Actor -- Leading Role","NO","The Remains of the Day "
"2251","1993 ","Actor -- Leading Role","NO","Schindler's List "
"2252","1993 ","Actor -- Supporting Role","NO","What's Eating Gilbert Grape "
"2253","1993 ","Actor -- Supporting Role","NO","Schindler's List "
"2254","1993 ","Actor -- Supporting Role","YES","The Fugitive "
"2255","1993 ","Actor -- Supporting Role","NO","In the Line of Fire "
"2256","1993 ","Actor -- Supporting Role","NO","In the Name of the Father "
"2257","1993 ","Actress -- Leading Role","NO","What's Love Got to Do with It "
"2258","1993 ","Actress -- Leading Role","NO","Six Degrees of Separation "
"2259","1993 ","Actress -- Leading Role","YES","The Piano "
"2260","1993 ","Actress -- Leading Role","NO","The Remains of the Day "
"2261","1993 ","Actress -- Leading Role","NO","Shadowlands "
"2262","1993 ","Actress -- Supporting Role","NO","The Firm "
"2263","1993 ","Actress -- Supporting Role","YES","The Piano "
"2264","1993 ","Actress -- Supporting Role","NO","Fearless "
"2265","1993 ","Actress -- Supporting Role","NO","The Age of Innocence "
"2266","1993 ","Actress -- Supporting Role","NO","In the Name of the Father "
"2267","1993 ","Art Direction","NO","151"
"2268","1993 ","Art Direction","NO","3682"
"2269","1993 ","Art Direction","NO","2819"
"2270","1993 ","Art Direction","NO","4364"
"2271","1993 ","Art Direction","YES","3252"
"2272","1993 ","Cinematography","NO","1271"
"2273","1993 ","Cinematography","NO","3965"
"2274","1993 ","Cinematography","NO","4294"
"2275","1993 ","Cinematography","YES","3252"
"2276","1993 ","Cinematography","NO","3269"
"2277","1993 ","Costume Design","YES","3682"
"2278","1993 ","Costume Design","NO","2819"
"2279","1993 ","Costume Design","NO","4294"
"2280","1993 ","Costume Design","NO","4364"
"2281","1993 ","Costume Design","NO","3252"
"2282","1993 ","Directing","NO","1806"
"2283","1993 ","Directing","NO","4294"
"2284","1993 ","Directing","NO","4364"
"2285","1993 ","Directing","YES","3252"
"2286","1993 ","Directing","NO","3339"
"2295","1993 ","Film Editing","NO","3965"
"2296","1993 ","Film Editing","NO","1804"
"2297","1993 ","Film Editing","NO","1806"
"2298","1993 ","Film Editing","NO","4294"
"2299","1993 ","Film Editing","YES","3252"
"2305","1993 ","Makeup","YES","2615"
"2306","1993 ","Makeup","NO","2921"
"2307","1993 ","Makeup","NO","3252"
"2308","1993 ","Music (Scoring)","NO","3682"
"2309","1993 ","Music (Scoring)","NO","3938"
"2310","1993 ","Music (Scoring)","NO","3965"
"2311","1993 ","Music (Scoring)","NO","4364"
"2312","1993 ","Music (Scoring)","YES","3252"
"2313","1993 ","Music (Song)","NO","2948"
"2314","1993 ","Music (Song)","NO","452"
"2315","1993 ","Music (Song)","NO","2921"
"2316","1993 ","Music (Song)","YES","2921"
"2317","1993 ","Music (Song)","NO","3382"
"2318","1993 ","Best Picture","NO","3965"
"2319","1993 ","Best Picture","NO","1806"
"2320","1993 ","Best Picture","NO","4294"
"2321","1993 ","Best Picture","NO","4364"
"2322","1993 ","Best Picture","YES","3252"
"2333","1993 ","Sound","NO","852"
"2334","1993 ","Sound","NO","3965"
"2335","1993 ","Sound","NO","1470"
"2336","1993 ","Sound","YES","2066"
"2337","1993 ","Sound","NO","3252"
"2338","1993 ","Sound Editing","NO","852"
"2339","1993 ","Sound Editing","NO","3965"
"2340","1993 ","Sound Editing","YES","2066"
"2341","1993 ","Visual Effects","NO","852"
"2342","1993 ","Visual Effects","YES","2066"
"2343","1993 ","Visual Effects","NO","4253"
"2344","1993 ","Writing","NO","3682"
"2345","1993 ","Writing","NO","1806"
"2346","1993 ","Writing","NO","4364"
"2347","1993 ","Writing","YES","3252"
"2348","1993 ","Writing","NO","3310"
"2349","1993 ","Writing","NO","970"
"2350","1993 ","Writing","NO","1804"
"2351","1993 ","Writing","NO","2921"
"2352","1993 ","Writing","YES","4294"
"2353","1993 ","Writing","NO","3382"
"2366","1992 ","Actor -- Leading Role","NO","Chaplin "
"2367","1992 ","Actor -- Leading Role","NO","Unforgiven "
"2368","1992 ","Actor -- Leading Role","YES","Scent of a Woman "
"2369","1992 ","Actor -- Leading Role","NO","The Crying Game "
"2370","1992 ","Actor -- Leading Role","NO","Malcolm X "
"2371","1992 ","Actor -- Supporting Role","NO","The Crying Game "
"2372","1992 ","Actor -- Supporting Role","YES","Unforgiven "
"2373","1992 ","Actor -- Supporting Role","NO","A Few Good Men "
"2374","1992 ","Actor -- Supporting Role","NO","Glengarry Glen Ross "
"2375","1992 ","Actor -- Supporting Role","NO","Mr. Saturday Night "
"2376","1992 ","Actress -- Leading Role","NO","Indochine "
"2377","1992 ","Actress -- Leading Role","NO","Passion Fish "
"2378","1992 ","Actress -- Leading Role","NO","Love Field "
"2379","1992 ","Actress -- Leading Role","NO","Lorenzo's Oil "
"2380","1992 ","Actress -- Leading Role","YES","Howards End "
"2381","1992 ","Actress -- Supporting Role","NO","Husbands and Wives "
"2382","1992 ","Actress -- Supporting Role","NO","Enchanted April "
"2383","1992 ","Actress -- Supporting Role","NO","Howards End "
"2384","1992 ","Actress -- Supporting Role","NO","Damage "
"2385","1992 ","Actress -- Supporting Role","YES","My Cousin Vinny "
"2386","1992 ","Art Direction","NO","602"
"2387","1992 ","Art Direction","NO","766"
"2388","1992 ","Art Direction","YES","1736"
"2389","1992 ","Art Direction","NO","5655"
"2390","1992 ","Art Direction","NO","5730"
"2391","1992 ","Cinematography","NO","1694"
"2392","1992 ","Cinematography","NO","1736"
"2393","1992 ","Cinematography","NO","4162"
"2394","1992 ","Cinematography","YES","104"
"2395","1992 ","Cinematography","NO","5730"
"2396","1992 ","Costume Design","YES","602"
"2397","1992 ","Costume Design","NO","1208"
"2398","1992 ","Costume Design","NO","1736"
"2399","1992 ","Costume Design","NO","2389"
"2400","1992 ","Costume Design","NO","5655"
"2401","1992 ","Directing","NO","3848"
"2402","1992 ","Directing","NO","1736"
"2403","1992 ","Directing","NO","4306"
"2404","1992 ","Directing","NO","3251"
"2405","1992 ","Directing","YES","5730"
"2416","1992 ","Film Editing","NO","429"
"2417","1992 ","Film Editing","NO","3848"
"2418","1992 ","Film Editing","NO","54"
"2419","1992 ","Film Editing","NO","4306"
"2420","1992 ","Film Editing","YES","5730"
"2426","1992 ","Makeup","NO","434"
"2427","1992 ","Makeup","YES","602"
"2428","1992 ","Makeup","NO","1694"
"2429","1992 ","Music (Scoring)","YES","180"
"2430","1992 ","Music (Scoring)","NO","429"
"2431","1992 ","Music (Scoring)","NO","766"
"2432","1992 ","Music (Scoring)","NO","1736"
"2433","1992 ","Music (Scoring)","NO","104"
"2434","1992 ","Music (Song)","NO","4179"
"2435","1992 ","Music (Song)","NO","180"
"2436","1992 ","Music (Song)","NO","3753"
"2437","1992 ","Music (Song)","NO","3753"
"2438","1992 ","Music (Song)","YES","180"
"2439","1992 ","Best Picture","NO","3848"
"2440","1992 ","Best Picture","NO","54"
"2441","1992 ","Best Picture","NO","1736"
"2442","1992 ","Best Picture","NO","3251"
"2443","1992 ","Best Picture","YES","5730"
"2454","1992 ","Sound","NO","180"
"2455","1992 ","Sound","NO","54"
"2456","1992 ","Sound","YES","4114"
"2457","1992 ","Sound","NO","5725"
"2458","1992 ","Sound","NO","5730"
"2459","1992 ","Sound Editing","NO","180"
"2460","1992 ","Sound Editing","YES","602"
"2461","1992 ","Sound Editing","NO","5725"
"2462","1992 ","Visual Effects","NO","209"
"2463","1992 ","Visual Effects","NO","434"
"2464","1992 ","Visual Effects","YES","1009"
"2465","1992 ","Writing","NO","1208"
"2466","1992 ","Writing","YES","1736"
"2467","1992 ","Writing","NO","4306"
"2468","1992 ","Writing","NO","104"
"2469","1992 ","Writing","NO","3251"
"2470","1992 ","Writing","YES","3848"
"2471","1992 ","Writing","NO","1749"
"2472","1992 ","Writing","NO","2329"
"2473","1992 ","Writing","NO","2860"
"2474","1992 ","Writing","NO","5730"
"2492","1991 ","Actor -- Leading Role","NO","Bugsy "
"2493","1991 ","Actor -- Leading Role","NO","Cape Fear "
"2494","1991 ","Actor -- Leading Role","YES","The Silence of the Lambs "
"2495","1991 ","Actor -- Leading Role","NO","The Prince of Tides "
"2496","1991 ","Actor -- Leading Role","NO","The Fisher King "
"2497","1991 ","Actor -- Supporting Role","NO","JFK "
"2498","1991 ","Actor -- Supporting Role","NO","Bugsy "
"2499","1991 ","Actor -- Supporting Role","NO","Bugsy "
"2500","1991 ","Actor -- Supporting Role","NO","Barton Fink "
"2501","1991 ","Actor -- Supporting Role","YES","City Slickers "
"2502","1991 ","Actress -- Leading Role","NO","Thelma & Louise "
"2503","1991 ","Actress -- Leading Role","NO","Rambling Rose "
"2504","1991 ","Actress -- Leading Role","YES","The Silence of the Lambs "
"2505","1991 ","Actress -- Leading Role","NO","For the Boys "
"2506","1991 ","Actress -- Leading Role","NO","Thelma & Louise "
"2507","1991 ","Actress -- Supporting Role","NO","Rambling Rose "
"2508","1991 ","Actress -- Supporting Role","NO","Cape Fear "
"2509","1991 ","Actress -- Supporting Role","NO","The Prince of Tides "
"2510","1991 ","Actress -- Supporting Role","YES","The Fisher King "
"2511","1991 ","Actress -- Supporting Role","NO","Fried Green Tomatoes "
"2512","1991 ","Art Direction","NO","428"
"2513","1991 ","Art Direction","YES","650"
"2514","1991 ","Art Direction","NO","3941"
"2515","1991 ","Art Direction","NO","1712"
"2516","1991 ","Art Direction","NO","4324"
"2517","1991 ","Cinematography","NO","650"
"2518","1991 ","Cinematography","YES","1960"
"2519","1991 ","Cinematography","NO","4324"
"2520","1991 ","Cinematography","NO","3635"
"2521","1991 ","Cinematography","NO","4595"
"2522","1991 ","Costume Design","NO","3671"
"2523","1991 ","Costume Design","NO","428"
"2524","1991 ","Costume Design","YES","650"
"2525","1991 ","Costume Design","NO","1712"
"2526","1991 ","Costume Design","NO","2369"
"2527","1991 ","Directing","NO","599"
"2528","1991 ","Directing","NO","650"
"2529","1991 ","Directing","NO","1960"
"2530","1991 ","Directing","YES","4422"
"2531","1991 ","Directing","NO","4595"
"2542","1991 ","Film Editing","NO","3819"
"2543","1991 ","Film Editing","YES","1960"
"2544","1991 ","Film Editing","NO","4422"
"2545","1991 ","Film Editing","NO","3635"
"2546","1991 ","Film Editing","NO","4595"
"2552","1991 ","Makeup","NO","1712"
"2553","1991 ","Makeup","NO","3490"
"2554","1991 ","Makeup","YES","3635"
"2555","1991 ","Music (Scoring)","YES","446"
"2556","1991 ","Music (Scoring)","NO","650"
"2557","1991 ","Music (Scoring)","NO","3941"
"2558","1991 ","Music (Scoring)","NO","1960"
"2559","1991 ","Music (Scoring)","NO","4324"
"2560","1991 ","Music (Song)","NO","446"
"2561","1991 ","Music (Song)","YES","446"
"2562","1991 ","Music (Song)","NO","446"
"2563","1991 ","Music (Song)","NO","3143"
"2564","1991 ","Music (Song)","NO","1712"
"2565","1991 ","Best Picture","NO","446"
"2566","1991 ","Best Picture","NO","650"
"2567","1991 ","Best Picture","NO","1960"
"2568","1991 ","Best Picture","NO","4324"
"2569","1991 ","Best Picture","YES","4422"
"2576","1991 ","Sound","NO","399"
"2577","1991 ","Sound","NO","446"
"2578","1991 ","Sound","NO","1960"
"2579","1991 ","Sound","NO","4422"
"2580","1991 ","Sound","YES","3635"
"2581","1991 ","Sound Editing","NO","399"
"2582","1991 ","Sound Editing","NO","3490"
"2583","1991 ","Sound Editing","YES","3635"
"2584","1991 ","Visual Effects","NO","399"
"2585","1991 ","Visual Effects","NO","1712"
"2586","1991 ","Visual Effects","YES","3635"
"2587","1991 ","Writing","NO","1234"
"2588","1991 ","Writing","NO","1390"
"2589","1991 ","Writing","NO","1960"
"2590","1991 ","Writing","NO","4324"
"2591","1991 ","Writing","YES","4422"
"2592","1991 ","Writing","NO","599"
"2593","1991 ","Writing","NO","650"
"2594","1991 ","Writing","NO","3941"
"2595","1991 ","Writing","NO","1541"
"2596","1991 ","Writing","YES","4595"
"2617","1990 ","Actor -- Leading Role","NO","Dances With Wolves "
"2618","1990 ","Actor -- Leading Role","NO","Awakenings "
"2619","1990 ","Actor -- Leading Role","NO","Cyrano de Bergerac "
"2620","1990 ","Actor -- Leading Role","NO","The Field "
"2621","1990 ","Actor -- Leading Role","YES","Reversal of Fortune "
"2622","1990 ","Actor -- Supporting Role","NO","Longtime Companion "
"2623","1990 ","Actor -- Supporting Role","NO","The Godfather, Part III "
"2624","1990 ","Actor -- Supporting Role","NO","Dances With Wolves "
"2625","1990 ","Actor -- Supporting Role","NO","Dick Tracy "
"2626","1990 ","Actor -- Supporting Role","YES","Good Fellas "
"2627","1990 ","Actress -- Leading Role","YES","Misery "
"2628","1990 ","Actress -- Leading Role","NO","The Grifters "
"2629","1990 ","Actress -- Leading Role","NO","Pretty Woman "
"2630","1990 ","Actress -- Leading Role","NO","Postcards from the Edge "
"2631","1990 ","Actress -- Leading Role","NO","Mr. & Mrs. Bridge "
"2632","1990 ","Actress -- Supporting Role","NO","The Grifters "
"2633","1990 ","Actress -- Supporting Role","NO","Good Fellas "
"2634","1990 ","Actress -- Supporting Role","YES","Ghost "
"2635","1990 ","Actress -- Supporting Role","NO","Wild at Heart "
"2636","1990 ","Actress -- Supporting Role","NO","Dances With Wolves "
"2637","1990 ","Art Direction","NO","934"
"2638","1990 ","Art Direction","NO","951"
"2639","1990 ","Art Direction","YES","1062"
"2640","1990 ","Art Direction","NO","3991"
"2641","1990 ","Art Direction","NO","1585"
"2642","1990 ","Cinematography","NO","380"
"2643","1990 ","Cinematography","YES","951"
"2644","1990 ","Cinematography","NO","1062"
"2645","1990 ","Cinematography","NO","3991"
"2646","1990 ","Cinematography","NO","1650"
"2647","1990 ","Costume Design","NO","380"
"2648","1990 ","Costume Design","YES","934"
"2649","1990 ","Costume Design","NO","951"
"2650","1990 ","Costume Design","NO","1062"
"2651","1990 ","Costume Design","NO","1585"
"2652","1990 ","Directing","YES","951"
"2653","1990 ","Directing","NO","3991"
"2654","1990 ","Directing","NO","1521"
"2655","1990 ","Directing","NO","4025"
"2656","1990 ","Directing","NO","3082"
"2667","1990 ","Film Editing","YES","951"
"2668","1990 ","Film Editing","NO","1473"
"2669","1990 ","Film Editing","NO","3991"
"2670","1990 ","Film Editing","NO","1521"
"2671","1990 ","Film Editing","NO","4061"
"2677","1990 ","Makeup","NO","934"
"2678","1990 ","Makeup","YES","1062"
"2679","1990 ","Makeup","NO","1173"
"2680","1990 ","Music (Scoring)","NO","380"
"2681","1990 ","Music (Scoring)","YES","951"
"2682","1990 ","Music (Scoring)","NO","1473"
"2683","1990 ","Music (Scoring)","NO","1620"
"2684","1990 ","Music (Scoring)","NO","1708"
"2685","1990 ","Music (Song)","NO","5988"
"2686","1990 ","Music (Song)","NO","2961"
"2687","1990 ","Music (Song)","NO","3991"
"2688","1990 ","Music (Song)","NO","1708"
"2689","1990 ","Music (Song)","YES","1062"
"2690","1990 ","Best Picture","NO","382"
"2691","1990 ","Best Picture","YES","951"
"2692","1990 ","Best Picture","NO","1473"
"2693","1990 ","Best Picture","NO","3991"
"2694","1990 ","Best Picture","NO","1521"
"2703","1990 ","Sound","YES","951"
"2704","1990 ","Sound","NO","995"
"2705","1990 ","Sound","NO","1062"
"2706","1990 ","Sound","NO","4061"
"2707","1990 ","Sound","NO","5647"
"2708","1990 ","Sound Editing","NO","1319"
"2709","1990 ","Sound Editing","YES","4061"
"2710","1990 ","Sound Editing","NO","5647"
"2711","1990 ","Visual Effects","YES","5647"
"2712","1990 ","Writing","NO","382"
"2713","1990 ","Writing","YES","951"
"2714","1990 ","Writing","NO","1521"
"2715","1990 ","Writing","NO","4025"
"2716","1990 ","Writing","NO","3082"
"2717","1990 ","Writing","NO","202"
"2718","1990 ","Writing","NO","380"
"2719","1990 ","Writing","YES","1473"
"2720","1990 ","Writing","NO","1554"
"2721","1990 ","Writing","NO","2508"
"2746","1989 ","Actor -- Leading Role","NO","Henry V "
"2747","1989 ","Actor -- Leading Role","NO","Born on the Fourth of July "
"2748","1989 ","Actor -- Leading Role","YES","My Left Foot "
"2749","1989 ","Actor -- Leading Role","NO","Driving Miss Daisy "
"2750","1989 ","Actor -- Leading Role","NO","Dead Poets Society "
"2751","1989 ","Actor -- Supporting Role","NO","Do the Right Thing "
"2752","1989 ","Actor -- Supporting Role","NO","Driving Miss Daisy "
"2753","1989 ","Actor -- Supporting Role","NO","A Dry White Season "
"2754","1989 ","Actor -- Supporting Role","NO","Crimes and Misdemeanors "
"2755","1989 ","Actor -- Supporting Role","YES","Glory "
"2756","1989 ","Actress -- Leading Role","NO","Camille Claudel "
"2757","1989 ","Actress -- Leading Role","NO","Shirley Valentine "
"2758","1989 ","Actress -- Leading Role","NO","Music Box "
"2759","1989 ","Actress -- Leading Role","NO","The Fabulous Baker Boys "
"2760","1989 ","Actress -- Leading Role","YES","Driving Miss Daisy "
"2761","1989 ","Actress -- Supporting Role","YES","My Left Foot "
"2762","1989 ","Actress -- Supporting Role","NO","Enemies, A Love Story "
"2763","1989 ","Actress -- Supporting Role","NO","Enemies, A Love Story "
"2764","1989 ","Actress -- Supporting Role","NO","Steel Magnolias "
"2765","1989 ","Actress -- Supporting Role","NO","Parenthood "
"2766","1989 ","Art Direction","NO","3666"
"2767","1989 ","Art Direction","NO","3672"
"2768","1989 ","Art Direction","YES","431"
"2769","1989 ","Art Direction","NO","1132"
"2770","1989 ","Art Direction","NO","1498"
"2771","1989 ","Cinematography","NO","3666"
"2772","1989 ","Cinematography","NO","540"
"2773","1989 ","Cinematography","NO","589"
"2774","1989 ","Cinematography","NO","3918"
"2775","1989 ","Cinematography","YES","1498"
"2776","1989 ","Costume Design","NO","3672"
"2777","1989 ","Costume Design","NO","1132"
"2778","1989 ","Costume Design","NO","1598"
"2779","1989 ","Costume Design","YES","1654"
"2780","1989 ","Costume Design","NO","5748"
"2781","1989 ","Directing","YES","589"
"2782","1989 ","Directing","NO","921"
"2783","1989 ","Directing","NO","1001"
"2784","1989 ","Directing","NO","1654"
"2785","1989 ","Directing","NO","2655"
"2794","1989 ","Film Editing","NO","3721"
"2795","1989 ","Film Editing","YES","589"
"2796","1989 ","Film Editing","NO","1132"
"2797","1989 ","Film Editing","NO","3918"
"2798","1989 ","Film Editing","NO","1498"
"2804","1989 ","Makeup","NO","3672"
"2805","1989 ","Makeup","NO","937"
"2806","1989 ","Makeup","YES","1132"
"2807","1989 ","Music (Scoring)","NO","589"
"2808","1989 ","Music (Scoring)","NO","3918"
"2809","1989 ","Music (Scoring)","NO","1292"
"2810","1989 ","Music (Scoring)","NO","1818"
"2811","1989 ","Music (Scoring)","YES","4138"
"2812","1989 ","Music (Song)","NO","763"
"2813","1989 ","Music (Song)","NO","3335"
"2814","1989 ","Music (Song)","NO","2855"
"2815","1989 ","Music (Song)","NO","4138"
"2816","1989 ","Music (Song)","YES","4138"
"2817","1989 ","Best Picture","NO","589"
"2818","1989 ","Best Picture","NO","1001"
"2819","1989 ","Best Picture","YES","1132"
"2820","1989 ","Best Picture","NO","1292"
"2821","1989 ","Best Picture","NO","2655"
"2828","1989 ","Sound","NO","3666"
"2829","1989 ","Sound","NO","532"
"2830","1989 ","Sound","NO","589"
"2831","1989 ","Sound","YES","1498"
"2832","1989 ","Sound","NO","1818"
"2833","1989 ","Sound Editing","NO","532"
"2834","1989 ","Sound Editing","YES","1818"
"2835","1989 ","Sound Editing","NO","2259"
"2836","1989 ","Visual Effects","YES","3666"
"2837","1989 ","Visual Effects","NO","3672"
"2838","1989 ","Visual Effects","NO","398"
"2839","1989 ","Writing","NO","589"
"2840","1989 ","Writing","YES","1132"
"2841","1989 ","Writing","NO","1211"
"2842","1989 ","Writing","NO","1292"
"2843","1989 ","Writing","NO","2655"
"2844","1989 ","Writing","NO","921"
"2845","1989 ","Writing","YES","1001"
"2846","1989 ","Writing","NO","1078"
"2847","1989 ","Writing","NO","3305"
"2848","1989 ","Writing","NO","5858"
"2860","1988 ","Actor -- Leading Role","NO","Mississippi Burning "
"2861","1988 ","Actor -- Leading Role","NO","Big "
"2862","1988 ","Actor -- Leading Role","YES","Rain Man "
"2863","1988 ","Actor -- Leading Role","NO","Stand and Deliver "
"2864","1988 ","Actor -- Leading Role","NO","Pelle the Conqueror "
"2865","1988 ","Actor -- Supporting Role","NO","Little Dorrit "
"2866","1988 ","Actor -- Supporting Role","YES","A Fish Called Wanda "
"2867","1988 ","Actor -- Supporting Role","NO","Tucker The Man and His Dream "
"2868","1988 ","Actor -- Supporting Role","NO","Running on Empty "
"2869","1988 ","Actor -- Supporting Role","NO","Married to the Mob "
"2870","1988 ","Actress -- Leading Role","NO","Dangerous Liaisons "
"2871","1988 ","Actress -- Leading Role","YES","The Accused "
"2872","1988 ","Actress -- Leading Role","NO","Working Girl "
"2873","1988 ","Actress -- Leading Role","NO","A Cry in the Dark "
"2874","1988 ","Actress -- Leading Role","NO","Gorillas in the Mist "
"2875","1988 ","Actress -- Supporting Role","NO","Working Girl "
"2876","1988 ","Actress -- Supporting Role","YES","The Accidental Tourist "
"2877","1988 ","Actress -- Supporting Role","NO","Mississippi Burning "
"2878","1988 ","Actress -- Supporting Role","NO","Dangerous Liaisons "
"2879","1988 ","Actress -- Supporting Role","NO","Working Girl "
"2881","1988 ","Art Direction","NO","439"
"2882","1988 ","Art Direction","YES","953"
"2883","1988 ","Art Direction","NO","3023"
"2884","1988 ","Art Direction","NO","5688"
"2885","1988 ","Art Direction","NO","5885"
"2886","1988 ","Cinematography","YES","2561"
"2887","1988 ","Cinematography","NO","3023"
"2888","1988 ","Cinematography","NO","3630"
"2889","1988 ","Cinematography","NO","4528"
"2890","1988 ","Cinematography","NO","5885"
"2891","1988 ","Costume Design","NO","883"
"2892","1988 ","Costume Design","YES","953"
"2893","1988 ","Costume Design","NO","66"
"2894","1988 ","Costume Design","NO","3550"
"2895","1988 ","Costume Design","NO","5688"
"2896","1988 ","Directing","NO","56"
"2897","1988 ","Directing","NO","4117"
"2898","1988 ","Directing","NO","2561"
"2899","1988 ","Directing","YES","3023"
"2900","1988 ","Directing","NO","5956"
"2911","1988 ","Film Editing","NO","1063"
"2912","1988 ","Film Editing","NO","1535"
"2913","1988 ","Film Editing","NO","2561"
"2914","1988 ","Film Editing","NO","3023"
"2915","1988 ","Film Editing","YES","5885"
"2921","1988 ","Makeup","YES","453"
"2922","1988 ","Makeup","NO","883"
"2923","1988 ","Makeup","NO","3264"
"2924","1988 ","Music (Scoring)","NO","3668"
"2925","1988 ","Music (Scoring)","NO","953"
"2926","1988 ","Music (Scoring)","NO","1535"
"2927","1988 ","Music (Scoring)","YES","4212"
"2928","1988 ","Music (Scoring)","NO","3023"
"2929","1988 ","Music (Song)","NO","404"
"2930","1988 ","Music (Song)","YES","5956"
"2931","1988 ","Music (Song)","NO","673"
"2932","1988 ","Best Picture","NO","3668"
"2933","1988 ","Best Picture","NO","953"
"2934","1988 ","Best Picture","NO","2561"
"2935","1988 ","Best Picture","YES","3023"
"2936","1988 ","Best Picture","NO","5956"
"2943","1988 ","Sound","YES","514"
"2944","1988 ","Sound","NO","1063"
"2945","1988 ","Sound","NO","1535"
"2946","1988 ","Sound","NO","2561"
"2947","1988 ","Sound","NO","5885"
"2948","1988 ","Sound Editing","NO","1063"
"2949","1988 ","Sound Editing","YES","5885"
"2950","1988 ","Sound Editing","NO","5913"
"2951","1988 ","Visual Effects","NO","1063"
"2952","1988 ","Visual Effects","YES","5885"
"2953","1988 ","Visual Effects","NO","5913"
"2954","1988 ","Writing","NO","3668"
"2955","1988 ","Writing","YES","953"
"2956","1988 ","Writing","NO","1535"
"2957","1988 ","Writing","NO","2306"
"2958","1988 ","Writing","NO","4528"
"2959","1988 ","Writing","NO","500"
"2960","1988 ","Writing","NO","654"
"2961","1988 ","Writing","NO","56"
"2962","1988 ","Writing","YES","3023"
"2963","1988 ","Writing","NO","3184"
"2984","1987 ","Actor -- Leading Role","YES","Wall Street "
"2985","1987 ","Actor -- Leading Role","NO","Broadcast News "
"2986","1987 ","Actor -- Leading Role","NO","Dark Eyes "
"2987","1987 ","Actor -- Leading Role","NO","Ironweed "
"2988","1987 ","Actor -- Leading Role","NO","Good Morning, Vietnam "
"2989","1987 ","Actor -- Supporting Role","NO","Broadcast News "
