"","Year","pictures","Best_Picture","Best_Editing","Best_Directing","Best_Actor","Best_Supporting_Actor","Best_Actress","Best_Supporting_Actress","Best_Sound","Best_Song"
"150",1958,"The Big Country","0","0","0","0","1","0","0","0","0"
"151",1959,"A Hole in the Head","0","0","0","0","0","0","0","0","1"
"152",1959,"Ben-Hur","1","1","1","1","1","0","0","1","0"
"153",1959,"Room at the Top","0","0","0","0","0","1","0","0","0"
"154",1959,"The Diary of Anne Frank","0","0","0","0","0","0","1","0","0"
"155",1960,"Butterfield 8","0","0","0","0","0","1","0","0","0"
"156",1960,"Elmer Gantry","0","0","0","1","0","0","1","0","0"
"157",1960,"Never on Sunday","0","0","0","0","0","0","0","0","1"
"158",1960,"Spartacus","0","0","0","0","1","0","0","0","0"
"159",1960,"The Alamo","0","0","0","0","0","0","0","1","0"
"160",1960,"The Apartment","1","1","1","0","0","0","0","0","0"
"161",1961,"Breakfast at Tiffany's","0","0","0","0","0","0","0","0","1"
"162",1961,"Judgment at Nuremberg","0","0","0","1","0","0","0","0","0"
"163",1961,"Two Women","0","0","0","0","0","1","0","0","0"
"164",1961,"West Side Story","1","1","1","0","1","0","1","1","0"
"165",1962,"Days of Wine and Roses","0","0","0","0","0","0","0","0","1"
"166",1962,"Lawrence of Arabia","1","1","1","0","0","0","0","1","0"
"167",1962,"Sweet Bird of Youth","0","0","0","0","1","0","0","0","0"
"168",1962,"The Miracle Worker","0","0","0","0","0","1","1","0","0"
"169",1962,"To Kill a Mockingbird","0","0","0","1","0","0","0","0","0"
"170",1963,"How the West Was Won","0","1","0","0","0","0","0","1","0"
"171",1963,"Hud","0","0","0","0","1","1","0","0","0"
"172",1963,"Lilies of the Field","0","0","0","1","0","0","0","0","0"
"173",1963,"Papa's Delicate Condition","0","0","0","0","0","0","0","0","1"
"174",1963,"The V.I.P.s","0","0","0","0","0","0","1","0","0"
"175",1963,"Tom Jones","1","0","1","0","0","0","0","0","0"
"176",1964,"Mary Poppins","0","1","0","0","0","1","0","0","1"
"177",1964,"My Fair Lady","1","0","1","1","0","0","0","1","0"
"178",1964,"Topkapi","0","0","0","0","1","0","0","0","0"
"179",1964,"Zorba the Greek","0","0","0","0","0","0","1","0","0"
"180",1965,"A Patch of Blue","0","0","0","0","0","0","1","0","0"
"181",1965,"A Thousand Clowns","0","0","0","0","1","0","0","0","0"
"182",1965,"Cat Ballou","0","0","0","1","0","0","0","0","0"
"183",1965,"Darling","0","0","0","0","0","1","0","0","0"
"184",1965,"The Sandpiper","0","0","0","0","0","0","0","0","1"
"185",1965,"The Sound of Music","1","1","1","0","0","0","0","1","0"
"186",1966,"A Man for All Seasons","1","0","1","1","0","0","0","0","0"
"187",1966,"Born Free","0","0","0","0","0","0","0","0","1"
"188",1966,"Grand Prix","0","1","0","0","0","0","0","1","0"
"189",1966,"The Fortune Cookie","0","0","0","0","1","0","0","0","0"
"190",1966,"Who's Afraid of Virginia Woolf?","0","0","0","0","0","1","1","0","0"
"191",1967,"Bonnie and Clyde","0","0","0","0","0","0","1","0","0"
"192",1967,"Cool Hand Luke","0","0","0","0","1","0","0","0","0"
"193",1967,"Doctor Dolittle","0","0","0","0","0","0","0","0","1"
"194",1967,"Guess Who's Coming to Dinner","0","0","0","0","0","1","0","0","0"
"195",1967,"In the Heat of the Night","1","1","0","1","0","0","0","1","0"
"196",1967,"The Graduate","0","0","1","0","0","0","0","0","0"
"197",1968,"Bullitt","0","1","0","0","0","0","0","0","0"
"198",1968,"Charly","0","0","0","1","0","0","0","0","0"
"199",1968,"Oliver!","1","0","1","0","0","0","0","1","0"
"200",1968,"Rosemary's Baby","0","0","0","0","0","0","1","0","0"
"201",1968,"The Lion in Winter","0","0","0","0","0","1","0","0","0"
"202",1968,"The Subject Was Roses","0","0","0","0","1","0","0","0","0"
"203",1968,"The Thomas Crown Affair","0","0","0","0","0","0","0","0","1"
"204",1969,"Butch Cassidy and the Sundance Kid","0","0","0","0","0","0","0","0","1"
"205",1969,"Cactus Flower","0","0","0","0","0","0","1","0","0"
"206",1969,"Hello, Dolly!","0","0","0","0","0","0","0","1","0"
